# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
cacheStateStorage.set.duration,1732550943186000000,1732550956231000000,6
cacheStateStorage.set.counter,1732550943186000000,1732550956231000000,6
cacheStateStorage.get.duration,1732550943186000000,1732550956231000000,31
cacheStateStorage.get.counter,1732550943186000000,1732550956231000000,10
FilePageCacheLockFree.housekeeperTurnsDone,1732550943186000000,1732550956231000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1732550943186000000,1732550956231000000,41943040
StorageLockContext.competingThreads.avg,1732550943186000000,1732550956231000000,0.0
FilePageCacheLockFree.totalHeapBytesAllocated,1732550943186000000,1732550956231000000,0
DirectByteBufferAllocator.disposed,1732550943186000000,1732550956231000000,146
FilePageCache.totalPageLoadsUs,1732550943186000000,1732550956231000000,249753
FilePageCacheLockFree.totalNativeBytesReclaimed,1732550943186000000,1732550956231000000,0
FilePageCache.pageFastCacheHits,1732550943186000000,1732550956231000000,3740
DirectByteBufferAllocator.hits,1732550943186000000,1732550956231000000,3
FilePageCacheLockFree.totalBytesRead,1732550943186000000,1732550956231000000,0
FilePageCacheLockFree.totalPagesAllocated,1732550943186000000,1732550956231000000,0
FilePageCache.uncachedFileAccess,1732550943186000000,1732550956231000000,109
FilePageCache.pageLoadsAboveSizeThreshold,1732550943186000000,1732550956231000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1732550943186000000,1732550956231000000,41943040
DirectByteBufferAllocator.reclaimed,1732550943186000000,1732550956231000000,43
FileChannelInterruptsRetryer.totalRetriedAttempts,1732550943186000000,1732550956231000000,0
FilePageCacheLockFree.totalPagesRequested,1732550943186000000,1732550956231000000,0
FilePageCache.pageHits,1732550943186000000,1732550956231000000,0
FilePageCache.maxCacheSizeInBytes,1732550943186000000,1732550956231000000,195035136
StorageLockContext.competingThreads.90P,1732550943186000000,1732550956231000000,0
FilePageCacheLockFree.totalPagesWriteMs,1732550943186000000,1732550956231000000,0
FilePageCache.capacityInBytes,1732550943186000000,1732550956231000000,503316478
FilePageCache.totalPageDisposalsUs,1732550943186000000,1732550956231000000,1001
DirectByteBufferAllocator.misses,1732550943186000000,1732550956231000000,186
FilePageCacheLockFree.housekeeperTurnsSkipped,1732550943186000000,1732550956231000000,0
FilePageCache.disposedBuffers,1732550943186000000,1732550956231000000,189
FilePageCache.maxRegisteredFiles,1732550943186000000,1732550956231000000,518
FilePageCacheLockFree.totalPagesReclaimed,1732550943186000000,1732550956231000000,0
FilePageCache.pageLoads,1732550943186000000,1732550956231000000,189
FilePageCacheLockFree.totalBytesRequested,1732550943186000000,1732550956231000000,0
FilePageCacheLockFree.totalPagesWritten,1732550943186000000,1732550956231000000,0
FilePageCacheLockFree.totalClosedStoragesReclaimed,1732550943186000000,1732550956231000000,0
FilePageCacheLockFree.totalPageAllocationsWaited,1732550943186000000,1732550956231000000,0
FilePageCacheLockFree.housekeeperTimeSpentMs,1732550943186000000,1732550956231000000,0
FilePageCacheLockFree.totalPagesReadMs,1732550943186000000,1732550956231000000,0
FilePageCacheLockFree.totalNativeBytesAllocated,1732550943186000000,1732550956231000000,0
StorageLockContext.competingThreads.max,1732550943186000000,1732550956231000000,0
FilePageCacheLockFree.totalBytesWritten,1732550943186000000,1732550956231000000,0
FilePageCacheLockFree.totalHeapBytesReclaimed,1732550943186000000,1732550956231000000,0
FilePageCacheLockFree.totalPagesRequestsMs,1732550943186000000,1732550956231000000,0
FilePageCacheLockFree.totalPagesHandedOver,1732550943186000000,1732550956231000000,0
FilePageCacheLockFree.heapBytesInUse,1732550943186000000,1732550956231000000,0
FilePageCacheLockFree.nativeBytesInUse,1732550943186000000,1732550956231000000,0
DiskQueryRelay.taskWaitingTotalTimeUs,1732550943186000000,1732550956231000000,962
writeAction.count,1732550943186000000,1732550956231000000,3
DiskQueryRelay.taskExecutionTotalTimeUs,1732550943186000000,1732550956231000000,923
DiskQueryRelay.tasksRequested,1732550943186000000,1732550956231000000,2
DiskQueryRelay.tasksExecuted,1732550943186000000,1732550956231000000,2
writeAction.wait.ms,1732550943186000000,1732550956231000000,0
writeAction.median.wait.ms,1732550943186000000,1732550956231000000,0
writeAction.max.wait.ms,1732550943186000000,1732550956231000000,0
Indexing.totalTimeIndexersSleptMs,1732550943186000000,1732550956231000000,0
Indexing.writer_2.totalTimeSpentWritingMs,1732550943186000000,1732550956231000000,0
Indexing.writer_0.totalTimeSpentWritingMs,1732550943186000000,1732550956231000000,0
Indexing.writesQueuedMax,1732550943186000000,1732550956231000000,0
Indexing.writesQueuedMin,1732550943186000000,1732550956231000000,9223372036854775807
Indexing.cache.totalCacheEvicted,1732550943186000000,1732550956231000000,0
Indexing.cache.totalCacheAccesses,1732550943186000000,1732550956231000000,0
Indexing.writer_3.totalTimeSpentWritingMs,1732550943186000000,1732550956231000000,0
Indexing.cache.totalCacheMisses,1732550943186000000,1732550956231000000,0
Indexing.writer_1.totalTimeSpentWritingMs,1732550943186000000,1732550956231000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1732550943186000000,1732550956231000000,0
jps.save.global.entities.ms,1732550943186000000,1732550956231000000,42
workspaceModel.mutableEntityStorage.replace.by.source.ms,1732550943186000000,1732550956231000000,5
workspaceModel.mutableEntityStorage.referrers.ms,1732550943186000000,1732550956231000000,0
jps.global.get.library.by.name.ms,1732550943186000000,1732550956231000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1732550943186000000,1732550956231000000,0
workspaceModel.do.save.caches.ms,1732550943186000000,1732550956231000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1732550943186000000,1732550956231000000,0
jps.global.initialize.library.bridges.ms,1732550943186000000,1732550956231000000,1
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1732550943186000000,1732550956231000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1732550943186000000,1732550956231000000,1
workspaceModel.moduleManagerBridge.load.module.ms,1732550943186000000,1732550956231000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1732550943186000000,1732550956231000000,0
jps.global.handle.changed.events.ms,1732550943186000000,1732550956231000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1732550943186000000,1732550956231000000,1
workspaceModel.global.apply.state.to.project.ms,1732550943186000000,1732550956231000000,0
workspaceModel.global.updates.count,1732550943186000000,1732550956231000000,1
jps.app.storage.content.writer.save.component.ms,1732550943186000000,1732550956231000000,12
workspaceModel.moduleManagerBridge.create.module.instance.ms,1732550943186000000,1732550956231000000,0
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1732550943186000000,1732550956231000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1732550943186000000,1732550956231000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1732550943186000000,1732550956231000000,0
workspaceModel.mutableEntityStorage.instances.count,1732550943186000000,1732550956231000000,5
workspaceModel.mutableEntityStorage.put.entity.ms,1732550943186000000,1732550956231000000,3
workspaceModel.mutableEntityStorage.entities.ms,1732550943186000000,1732550956231000000,0
jps.app.storage.content.reader.load.component.ms,1732550943186000000,1732550956231000000,10
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1732550943186000000,1732550956231000000,0
workspaceModel.sync.entities.ms,1732550943186000000,1732550956231000000,0
workspaceModel.global.updates.ms,1732550943186000000,1732550956231000000,6
jps.global.handle.before.change.events.ms,1732550943186000000,1732550956231000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1732550943186000000,1732550956231000000,0
workspaceModel.load.cache.from.file.ms,1732550943186000000,1732550956231000000,100
workspaceModel.save.cache.to.file.ms,1732550943186000000,1732550956231000000,0
jps.library.entities.serializer.load.entities.ms,1732550943186000000,1732550956231000000,0
workspaceModel.load.cache.metadata.from.file.ms,1732550943186000000,1732550956231000000,9
workspaceModel.moduleManagerBridge.get.modules.ms,1732550943186000000,1732550956231000000,1
jps.global.get.library.ms,1732550943186000000,1732550956231000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1732550943186000000,1732550956231000000,0
jps.global.get.libraries.ms,1732550943186000000,1732550956231000000,0
jps.library.entities.serializer.save.entities.ms,1732550943186000000,1732550956231000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1732550943186000000,1732550956231000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1732550943186000000,1732550956231000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1732550943186000000,1732550956231000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1732550943186000000,1732550956231000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1732550943186000000,1732550956231000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1732550943186000000,1732550956231000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1732550943186000000,1732550956231000000,9
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1732550943186000000,1732550956231000000,0
jps.load.initial.state.ms,1732550943186000000,1732550956231000000,13
jps.global.initialize.library.bridges.after.loading.ms,1732550943186000000,1732550956231000000,1
AWTEventQueue.dispatchTimeTotalNS,1732550943186000000,1732550956231000000,10033444700
NonBlockingReadAction.finalizedExecutionTimeUs,1732550943186000000,1732550956231000000,307645
NonBlockingReadAction.failedExecutionsCount,1732550943186000000,1732550956231000000,0
NonBlockingReadAction.finalizedExecutionsCount,1732550943186000000,1732550956231000000,25
NonBlockingReadAction.failedExecutionTimeUs,1732550943186000000,1732550956231000000,0
workspaceModel.cachedValue.total.get.count,1732550943186000000,1732550956231000000,7
workspaceModel.cachedValue.calculated.count,1732550943186000000,1732550956231000000,1
workspaceModel.replace.project.model.ms,1732550943186000000,1732550956231000000,0
workspaceModel.cachedValue.from.cache.count,1732550943186000000,1732550956231000000,6
workspaceModel.entityStorageSnapshotImpl.instances.count,1732550943186000000,1732550956231000000,5
workspaceModel.loading.from.cache.ms,1732550943186000000,1732550956231000000,1
workspaceModel.cachedValueWithParameters.clear.count,1732550943186000000,1732550956231000000,0
workspaceModel.on.before.changed.ms,1732550943186000000,1732550956231000000,0
workspaceModel.pre.handlers.ms,1732550943186000000,1732550956231000000,0
workspaceModel.cachedValueWithParameters.from.cache.count,1732550943186000000,1732550956231000000,0
